"_id","title","author","description","price_amount","price_currency","rating_value","rating_count","publication_year","isbn","pages_cnt","publisher","book_cover","source_url"
"ObjectId(""6944ebf8765021cd3de2d752"")","100 прекрасных стихов",,"Для дошкольного возраста. 
.Издание адресовано родителям для чтения вслух и показа детям. 
.
.
.",0,"RUB",,,"2012","978-5-271-26693-5","160","АСТ","https://content.img-gorod.ru/pim/products/images/b9/7f/0199e8c3-3398-7628-a2fa-f68eb745b97f.jpg?width=304&height=438&fit=bounds","https://www.chitai-gorod.ru/product/100-prekrasnyh-stihov-2236449"
"ObjectId(""6944ebf8765021cd3de2d753"")","Топы, платья, болеро, пледы","Анастасия Красичкова","Трикотаж никогда не выходит из моды, а в последнее время все большую популярность приобретают вещи, связанные вручную. Они занимают достойное место в гардеробе современной женщины и помогают создать свой неповторимый стиль. Представленные в этой книге оригинальные топы, платья и болеро, связанные на спицах и крючком, наверняка заинтересуют рукодельниц. А читательницам, которые захотят обновить не только гардероб, но и интерьер, предлагаются модели вязаных пледов.
.
.
.
.",0,"RUB",,,"2010","978-5-271-24575-6","32","АСТ","https://content.img-gorod.ru/pim/products/images/4d/04/0199e90c-0514-7fcb-8725-2883065f4d04.jpg?width=304&height=438&fit=bounds","https://www.chitai-gorod.ru/product/topy-platya-bolero-pledy-2236448"
"ObjectId(""6944ebf8765021cd3de2d754"")","Маски для лица и шеи","Светлана Чебаева","На страницах этой книги вы найдете рецепты приготовления очищающих, увлажняющих, питательных, отбеливающих и лечебных масок для лица, шеи и области декольте. С их помощью любая женщина избавится от мелких морщин, освежит лицо и сделает кожу более гладкой и упругой.
.",0,"RUB",,,"2011","978-5-271-24323-3","32","АСТ","https://content.img-gorod.ru/pim/products/images/b7/e9/0199e8eb-b8a0-7651-a181-2539f666b7e9.jpg?width=304&height=438&fit=bounds","https://www.chitai-gorod.ru/product/maski-dlya-lica-i-shei-2236447"
"ObjectId(""6944ebf9765021cd3de2d755"")","О дивный новый мир","Олдос Леонард Хаксли","«О дивный новый мир» — изысканная и остроумная антиутопия о генети-чески программируемом «обществе потребления», ",683,"RUB","3.9","118",,"978-5-17-062823-0","288","АСТ","https://content.img-gorod.ru/pim/products/images/eb/15/018fa14d-0d95-7c0b-a772-c46dbc51eb15.jpg?width=304&height=438&fit=bounds","https://www.chitai-gorod.ru/product/o-divnyy-novyy-mir-2236443"
"ObjectId(""6944ebf9765021cd3de2d756"")","Уход за цветами на вашем участке. Цветочный календарь","Галина Кизима","В книге расписаны по месяцам основные работы по уходу за цветами и декоративными растениями в саду. Приведены удобные таблицы, которые помогут легко определить время цветения растений, их высоту, расцветку, требования к свету, влаге и почве. Все эти полезные сведения позволят правильно выбрать место посадки, подготовить подходящую почву для декоративных растений и создать великолепные клумбы не­прерывного цветения. 
.
.",0,"RUB",,,"2011","978-5-17-065119-1","160","АСТ","https://content.img-gorod.ru/pim/products/images/05/6b/0199ed9a-deb0-7fb2-9f24-13a705a8056b.jpg?width=304&height=438&fit=bounds","https://www.chitai-gorod.ru/product/uhod-za-cvetami-na-vashem-uchastke-cvetochnyy-kalendar-2236444"
"ObjectId(""6944ebf9765021cd3de2d757"")","Миллер. Северный крест : роман","Валерий Поволяев","Новый роман современного писателя-историка В. Поволяева рассказывает о жизни и судьбе одного из лидеров Белого движе­ния, генерал-лейтенанта Евгения Карловича Миллера (1867— 1939). 
.
.
.",0,"RUB",,,"2010","978-5-17-063752-2","448","АСТ","https://content.img-gorod.ru/pim/products/images/4c/5e/0199e919-2621-769d-a425-e427e7814c5e.jpg?width=304&height=438&fit=bounds","https://www.chitai-gorod.ru/product/miller-severnyy-krest-roman-2236450"
"ObjectId(""6944ebf9765021cd3de2d758"")","Ради нового дня","Митч Элбом","В чем секрет огромной популярности книг Митча Элбома?
.Вероятно, в том, что в его героях мы неизменно узнаем себя.
.Вместе с ними мы страдаем и огорчаемся, вместе с ними совершаем ошибки...
.Но главное - вместе с ними мы учимся эти ошибки исправлять.
.Трогательные и необыкновенно человечные про­изведения Элбома помогают нам по-новому взглянуть на себя и своих близких, острее ощутить радость жиз­ни, научиться любить, верить, прощать и вопреки уда­рам судьбы обрести надежду.
.Простые чувства, о которых мы порой забываем в повседневной суете... 
.
.
.",0,"RUB",,,"2010","978-5-17-066093-3","256","АСТ","https://content.img-gorod.ru/pim/products/images/72/13/0199e8fe-50cb-74d7-9b8e-473be3ae7213.jpg?width=304&height=438&fit=bounds","https://www.chitai-gorod.ru/product/radi-novogo-dnya-2236446"
"ObjectId(""6944ebf9765021cd3de2d759"")","Клеопатра","Генри Хаггард","Роман ""Клеопатра"" - исторически достоверные реалии, увлекательный сюжет. Эпоха последних Птолемеев, властителей Египта. Потомок фараонов жрец Гармахис и царица Египта Клеопатра... Ее власть безгранична, а ее чары заставляют злейшего врага Гармахиса забыть о ненависти ради любви...",0,"RUB",,,,"978-5-17-064365-3","384","АСТ","https://content.img-gorod.ru/pim/products/images/c6/af/0199ed58-a346-7661-a799-acc2a2cdc6af.jpg?width=304&height=438&fit=bounds","https://www.chitai-gorod.ru/product/kleopatra-2236442"
"ObjectId(""6944ebf9765021cd3de2d75a"")","Любовь - кибитка кочевая: роман / (Цыганская страсть). Дробина А. (Эксмо)","Анастасия Дробина","На всю Москву гремит слава цыганской певицы Насти. Цвет московской знати, купцы, художники и артисты ищут ее благосклонности. Но любовь дороже денег, дороже славы — и девушка бежит из Москвы вместе со своим возлюбленным — таборным цыганом Ильей. Он готов бросить к ногам молодой жены весь мир — но выдержит ли Настя тяжесть бродячей жизни? Не разобьется ли ее любовь на кривых дорогах, устоит ли под холодным ветром?
.",0,"RUB",,,"2010","978-5-699-42079-7","352","Эксмо","https://content.img-gorod.ru/pim/products/images/e5/99/0199e8b9-b9e8-7918-8d90-2b5c1249e599.jpg?width=304&height=438&fit=bounds","https://www.chitai-gorod.ru/product/lyubov-kibitka-kochevaya-roman-cyganskaya-strast-drobina-a-eksmo-2236400"
"ObjectId(""6944ebf9765021cd3de2d75b"")","Тесей. Царь должен умереть : роман","Мэри Рено","Мэри Рено - всемирно известный автор исторических романов, бесподобно воссоздающая картину Древнего мира. Ее цикл о Тесее состоит из двух книг — «Царь должен умереть» и «Бык из моря».
.В мировой литературе этому величайшему герою Античности, полубогу-получеловеку, победителю Минотавра и основателю Афинского государства, посвящено множество произведений: он был любимым персонажем Софокла, Еврипида, Сенеки и Расина. В современном романе Мэри Рено жизнь и личность Тесея трактуется с максимально реалистичной точки зрения, с использованием сегодняшних знаний о критоминойской культуре, культе Матери-Богини и безграничном воображении автора.",0,"RUB",,,"2010","978-5-699-41136-8","448","Эксмо","https://content.img-gorod.ru/pim/products/images/8f/f0/0199e8b8-aaf4-77ae-8931-c2ecc6d78ff0.jpg?width=304&height=438&fit=bounds","https://www.chitai-gorod.ru/product/tesey-car-dolzhen-umeret-roman-2236397"
